item,ad_page,ad_order,ad_code,assessment,ad_url,ad_last_updated,old_text,new_text,datetime
99,10,9,CA0051,Recently Updated,N/A,11/11/2022 21:31:05,N/A,N/A,11/11/2022 21:55:10
100,10,10,AP0228,Recently Updated,N/A,11/11/2022 21:31:15,N/A,N/A,11/11/2022 21:55:11
101,11,1,CA0050,Recently Updated,N/A,11/11/2022 21:33:02,N/A,N/A,11/11/2022 21:55:16
102,11,2,AP0221,Recently Updated,N/A,11/11/2022 21:31:40,N/A,N/A,11/11/2022 21:55:16
103,11,3,AP0220,Recently Updated,N/A,11/11/2022 21:31:50,N/A,N/A,11/11/2022 21:55:16
104,11,4,AP0217,Recently Updated,N/A,11/11/2022 21:31:59,N/A,N/A,11/11/2022 21:55:16
105,11,5,AP0216,Recently Updated,N/A,11/11/2022 21:32:09,N/A,N/A,11/11/2022 21:55:16
106,11,6,AP0215,Recently Updated,N/A,11/11/2022 21:32:18,N/A,N/A,11/11/2022 21:55:16
107,11,7,CO0022,Recently Updated,N/A,11/11/2022 21:32:26,N/A,N/A,11/11/2022 21:55:16
108,11,8,CA0049,Recently Updated,N/A,11/11/2022 21:32:33,N/A,N/A,11/11/2022 21:55:16
109,11,9,AP0073,Recently Updated,N/A,11/11/2022 21:32:41,N/A,N/A,11/11/2022 21:55:16
110,11,10,AP0210,Recently Updated,N/A,11/11/2022 21:32:50,N/A,N/A,11/11/2022 21:55:16
111,12,1,AP0056,Recently Updated,N/A,11/11/2022 21:34:26,N/A,N/A,11/11/2022 21:55:21
112,12,2,AP0068,Recently Updated,N/A,11/11/2022 21:33:10,N/A,N/A,11/11/2022 21:55:21
113,12,3,AP0138,Recently Updated,N/A,11/11/2022 21:33:20,N/A,N/A,11/11/2022 21:55:21
114,12,4,AP0161,Recently Updated,N/A,11/11/2022 21:33:32,N/A,N/A,11/11/2022 21:55:21
115,12,5,AP0160,Recently Updated,N/A,11/11/2022 21:33:39,N/A,N/A,11/11/2022 21:55:21
116,12,6,AP0194,Recently Updated,N/A,11/11/2022 21:33:47,N/A,N/A,11/11/2022 21:55:21
117,12,7,AP0117,Recently Updated,N/A,11/11/2022 21:33:55,N/A,N/A,11/11/2022 21:55:21
118,12,8,CO0014,Recently Updated,N/A,11/11/2022 21:34:03,N/A,N/A,11/11/2022 21:55:21
119,12,9,CA0037,Recently Updated,N/A,11/11/2022 21:34:13,N/A,N/A,11/11/2022 21:55:21
120,12,10,AP0058,Recently Updated,N/A,11/11/2022 20:31:08,N/A,N/A,11/11/2022 21:55:21
121,13,1,AP0110,Recently Updated,N/A,11/11/2022 21:35:51,N/A,N/A,11/11/2022 21:55:27
122,13,2,AP0064,Recently Updated,N/A,11/11/2022 21:34:34,N/A,N/A,11/11/2022 21:55:27
123,13,3,AP0162,Recently Updated,N/A,11/11/2022 21:34:42,N/A,N/A,11/11/2022 21:55:27
124,13,4,AP0201,Recently Updated,N/A,11/11/2022 21:34:51,N/A,N/A,11/11/2022 21:55:27
125,13,5,AP0095,Recently Updated,N/A,11/11/2022 21:34:58,N/A,N/A,11/11/2022 21:55:27
126,13,6,CA0048,Recently Updated,N/A,11/11/2022 21:35:06,N/A,N/A,11/11/2022 21:55:27
127,13,7,CO0019,Recently Updated,N/A,11/11/2022 21:35:14,N/A,N/A,11/11/2022 21:55:27
128,13,8,AP0206,Recently Updated,N/A,11/11/2022 21:35:22,N/A,N/A,11/11/2022 21:55:27
129,13,9,CA0038,Recently Updated,N/A,11/11/2022 21:35:29,N/A,N/A,11/11/2022 21:55:27
130,13,10,AP0112,Recently Updated,N/A,11/11/2022 21:35:37,N/A,N/A,11/11/2022 21:55:27
131,14,1,CA0009,Recently Updated,N/A,11/11/2022 21:37:22,N/A,N/A,11/11/2022 21:55:32
132,14,2,AP0111,Recently Updated,N/A,11/11/2022 21:35:59,N/A,N/A,11/11/2022 21:55:32
133,14,3,CA0008,Recently Updated,N/A,11/11/2022 21:36:07,N/A,N/A,11/11/2022 21:55:32
134,14,4,AP0177,Recently Updated,N/A,11/11/2022 21:36:18,N/A,N/A,11/11/2022 21:55:32
135,14,5,AP0175,Recently Updated,N/A,11/11/2022 21:36:29,N/A,N/A,11/11/2022 21:55:32
136,14,6,AP0203,Recently Updated,N/A,11/11/2022 21:36:36,N/A,N/A,11/11/2022 21:55:32
137,14,7,AP0202,Recently Updated,N/A,11/11/2022 21:36:44,N/A,N/A,11/11/2022 21:55:32
138,14,8,AP0143,Recently Updated,N/A,11/11/2022 21:36:53,N/A,N/A,11/11/2022 21:55:32
139,14,9,CA0046,Recently Updated,N/A,11/11/2022 21:37:00,N/A,N/A,11/11/2022 21:55:33
140,14,10,CO0020,Recently Updated,N/A,11/11/2022 21:37:10,N/A,N/A,11/11/2022 21:55:33
141,15,1,AP0188,Recently Updated,N/A,11/11/2022 21:38:56,N/A,N/A,11/11/2022 21:55:38
142,15,2,AP0089,Recently Updated,N/A,11/11/2022 21:37:30,N/A,N/A,11/11/2022 21:55:38
143,15,3,AP0189,Recently Updated,N/A,11/11/2022 21:37:41,N/A,N/A,11/11/2022 21:55:38
144,15,4,CA0031,Recently Updated,N/A,11/11/2022 21:37:55,N/A,N/A,11/11/2022 21:55:38
145,15,5,AP0065,Recently Updated,N/A,11/11/2022 21:38:03,N/A,N/A,11/11/2022 21:55:38
146,15,6,AP0127,Recently Updated,N/A,11/11/2022 21:38:11,N/A,N/A,11/11/2022 21:55:38
147,15,7,AP0048,Recently Updated,N/A,11/11/2022 21:38:17,N/A,N/A,11/11/2022 21:55:38
148,15,8,GD0003,Recently Updated,N/A,11/11/2022 21:38:25,N/A,N/A,11/11/2022 21:55:38
149,15,9,AP0078,Recently Updated,N/A,11/11/2022 21:38:33,N/A,N/A,11/11/2022 21:55:38
150,15,10,CA0013,Recently Updated,N/A,11/11/2022 21:38:41,N/A,N/A,11/11/2022 21:55:38
151,16,1,AP0132,Recently Updated,N/A,11/11/2022 21:40:20,N/A,N/A,11/11/2022 21:55:43
152,16,2,AP0079,Recently Updated,N/A,11/11/2022 21:39:04,N/A,N/A,11/11/2022 21:55:43
153,16,3,AP0083,Recently Updated,N/A,11/11/2022 21:39:12,N/A,N/A,11/11/2022 21:55:43
154,16,4,AP0134,Recently Updated,N/A,11/11/2022 21:39:20,N/A,N/A,11/11/2022 21:55:43
155,16,5,AP0036,Recently Updated,N/A,11/11/2022 21:39:28,N/A,N/A,11/11/2022 21:55:43
156,16,6,AP0101,Recently Updated,N/A,11/11/2022 21:39:35,N/A,N/A,11/11/2022 21:55:43
157,16,7,AP0075,Recently Updated,N/A,11/11/2022 21:39:43,N/A,N/A,11/11/2022 21:55:43
158,16,8,AP0087,Recently Updated,N/A,11/11/2022 21:39:51,N/A,N/A,11/11/2022 21:55:44
159,16,9,AP0028,Recently Updated,N/A,11/11/2022 21:39:59,N/A,N/A,11/11/2022 21:55:44
160,16,10,AP0044,Recently Updated,N/A,11/11/2022 21:40:07,N/A,N/A,11/11/2022 21:55:44
161,17,1,CA0020,Recently Updated,N/A,11/11/2022 21:43:51,N/A,N/A,11/11/2022 21:55:49
162,17,2,AP0123,Recently Updated,N/A,11/11/2022 21:40:29,N/A,N/A,11/11/2022 21:55:49
163,17,3,CO0002,Recently Updated,N/A,11/11/2022 21:40:38,N/A,N/A,11/11/2022 21:55:49
164,17,4,CO0008,Recently Updated,N/A,11/11/2022 21:40:47,N/A,N/A,11/11/2022 21:55:49
165,17,5,AP0200,Recently Updated,N/A,11/11/2022 21:49:43,N/A,N/A,11/11/2022 21:55:49
166,17,6,SO0001,Default Text Found,https://canalpro.grupozap.com/ZAP_OLX/0/listings/update/2567479234,10/11/2022 00:50:43,"Asset Imóveis vende casa com 3 dormitórios, sala, banheiro social, ampla cozinha, lavanderia, banheiro de serviço e área externa. A localização, no Largo da Batalha, é propícia para ponto comercial associado com moradia. Aceita financiamento imobiliário e FGTS. A Asset Imóveis tem convênio com os maiores Bancos do País para aprovação e condução do seu crédito imobiliário, sem custo pelo serviço. Vale conferir!","Asset Imóveis vende casa com 3 dormitórios, sala, banheiro social, ampla cozinha, lavanderia, banheiro de serviço e área externa. A localização, no Largo da Batalha, é propícia para ponto comercial associado com moradia. Aceita financiamento imobiliário e FGTS.  Vale conferir!",11/11/2022 21:55:56
167,17,7,AP0150,Recently Updated,N/A,11/11/2022 21:44:43,N/A,N/A,11/11/2022 21:55:56
168,17,8,AP0060,Recently Updated,N/A,11/11/2022 21:44:51,N/A,N/A,11/11/2022 21:55:56
169,17,9,AP0005,Recently Updated,N/A,11/11/2022 21:44:58,N/A,N/A,11/11/2022 21:55:56
170,17,10,CO0016,Recently Updated,N/A,11/11/2022 21:45:05,N/A,N/A,11/11/2022 21:55:56
171,18,1,CO0021,Recently Updated,N/A,11/11/2022 21:45:20,N/A,N/A,11/11/2022 21:56:01
172,18,2,AP0195,Recently Updated,N/A,11/11/2022 21:43:59,N/A,N/A,11/11/2022 21:56:01
173,18,3,CA0039,Recently Updated,N/A,11/11/2022 21:44:12,N/A,N/A,11/11/2022 21:56:01
174,18,4,AP0179,Recently Updated,N/A,11/11/2022 21:44:20,N/A,N/A,11/11/2022 21:56:01
175,18,5,AP0038,Recently Updated,N/A,11/11/2022 21:44:27,N/A,N/A,11/11/2022 21:56:01
176,18,6,SA0002,Recently Updated,N/A,11/11/2022 21:44:34,N/A,N/A,11/11/2022 21:56:01
177,18,7,AP0150,Recently Updated,N/A,11/11/2022 21:44:43,N/A,N/A,11/11/2022 21:56:01
178,18,8,AP0060,Recently Updated,N/A,11/11/2022 21:44:51,N/A,N/A,11/11/2022 21:56:01
179,18,9,AP0005,Recently Updated,N/A,11/11/2022 21:44:58,N/A,N/A,11/11/2022 21:56:01
180,18,10,CO0016,Recently Updated,N/A,11/11/2022 21:45:05,N/A,N/A,11/11/2022 21:56:01
181,19,1,CA0036,Recently Updated,N/A,11/11/2022 21:46:47,N/A,N/A,11/11/2022 21:56:07
182,19,2,AP0116,Recently Updated,N/A,11/11/2022 21:45:26,N/A,N/A,11/11/2022 21:56:07
183,19,3,AP0171,Recently Updated,N/A,11/11/2022 21:45:35,N/A,N/A,11/11/2022 21:56:07
184,19,4,GD0001,Recently Updated,N/A,11/11/2022 21:45:43,N/A,N/A,11/11/2022 21:56:07
185,19,5,AP0013,Recently Updated,N/A,11/11/2022 21:45:50,N/A,N/A,11/11/2022 21:56:07
186,19,6,CO0012,Recently Updated,N/A,11/11/2022 21:45:58,N/A,N/A,11/11/2022 21:56:07
187,19,7,AP0141,Recently Updated,N/A,11/11/2022 21:46:08,N/A,N/A,11/11/2022 21:56:07
188,19,8,AP0187,Recently Updated,N/A,11/11/2022 21:46:17,N/A,N/A,11/11/2022 21:56:07
189,19,9,CA0017,Recently Updated,N/A,11/11/2022 21:46:26,N/A,N/A,11/11/2022 21:56:07
190,19,10,CA0032,Recently Updated,N/A,11/11/2022 21:46:33,N/A,N/A,11/11/2022 21:56:07
191,20,1,AP0164,Recently Updated,N/A,11/11/2022 21:50:08,N/A,N/A,11/11/2022 21:56:12
192,20,2,CA0016,Default Text Found,https://canalpro.grupozap.com/ZAP_OLX/0/listings/update/2567480142,10/11/2022 00:53:01,"Asset imóveis vende especial Casa de 375m² de área construída, com 4 dormitórios no Condomínio Lírios do Campo IV, Niterói/RJ. O imóvel projetado por arquiteto de renome e construído com material de primeira linha, alizares de mármora, teto rebaixado em gesso com luminárias planejadas e cisterna para 15mil litros, apresenta: Primeiro pavimento - piscina em pastilha, com cascata e iluminação interna e externa, sauna com sala de repouso, churrasqueira, lavabo. Segundo pavimento - salão com 7 janelas em blindex, 1 quarto, banheiro social, cozinha com móveis planejados e 2 janelas em blindex, despensa com prateleiras em mármore, lavanderia, quarto de empregada e banheiro de serviço com entrada independente. Terceiro pavimento - área íntima da casa, composta por sala com terraço, banheiro social, 1 suíte com varandão e vista livre para o verde, closet, 1 quarto com varanda e armário, e o terceiro quarto. O Condomínio oferece churrasqueira, sauna, quadra poliesportiva, salão de festas, brinquedoteca, lago, além da segurança  da portaria 24h e circuito interno de TV. Aceita financiamento imobiliário e FGTS. A Asset Imóveis tem convênio com os maiores Bancos do País para aprovação e condução do seu crédito imobiliário, sem custo pelo serviço. Vale conferir !","Asset imóveis vende especial Casa de 375m² de área construída, com 4 dormitórios no Condomínio Lírios do Campo IV, Niterói/RJ. O imóvel projetado por arquiteto de renome e construído com material de primeira linha, alizares de mármora, teto rebaixado em gesso com luminárias planejadas e cisterna para 15mil litros, apresenta: Primeiro pavimento - piscina em pastilha, com cascata e iluminação interna e externa, sauna com sala de repouso, churrasqueira, lavabo. Segundo pavimento - salão com 7 janelas em blindex, 1 quarto, banheiro social, cozinha com móveis planejados e 2 janelas em blindex, despensa com prateleiras em mármore, lavanderia, quarto de empregada e banheiro de serviço com entrada independente. Terceiro pavimento - área íntima da casa, composta por sala com terraço, banheiro social, 1 suíte com varandão e vista livre para o verde, closet, 1 quarto com varanda e armário, e o terceiro quarto. O Condomínio oferece churrasqueira, sauna, quadra poliesportiva, salão de festas, brinquedoteca, lago, além da segurança  da portaria 24h e circuito interno de TV. Aceita financiamento imobiliário e FGTS.  Vale conferir !",11/11/2022 21:56:21
193,20,3,AP0185,Recently Updated,N/A,11/11/2022 21:50:24,N/A,N/A,11/11/2022 21:56:21
194,20,4,AP0154,Recently Updated,N/A,11/11/2022 21:50:32,N/A,N/A,11/11/2022 21:56:21
195,20,5,AP0137,Recently Updated,N/A,11/11/2022 21:50:41,N/A,N/A,11/11/2022 21:56:21
196,20,6,AP0144,Recently Updated,N/A,11/11/2022 21:50:48,N/A,N/A,11/11/2022 21:56:22
197,20,7,CA0022,Recently Updated,N/A,11/11/2022 21:50:56,N/A,N/A,11/11/2022 21:56:22
198,20,8,CO0013,Recently Updated,N/A,11/11/2022 21:51:04,N/A,N/A,11/11/2022 21:56:22
199,20,9,CA0003,Recently Updated,N/A,11/11/2022 21:51:11,N/A,N/A,11/11/2022 21:56:22
